date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2029-12-31,6624.0,166243.046875,183979.0,6856.0,Atlanta - GA,2024-12-31,Class A
2024-12-31,7130.0,229741.796875,262267.0,11912.0,Atlanta - GA,2024-12-31,Class B
2025-12-31,6179.0,235919.640625,267377.0,5110.0,Atlanta - GA,2024-12-31,Class B
2026-12-31,5521.0,241440.75,270914.0,3537.0,Atlanta - GA,2024-12-31,Class B
2027-12-31,4511.0,245951.640625,275137.0,4223.0,Atlanta - GA,2024-12-31,Class B
2028-12-31,4905.0,250858.15625,280023.0,4886.0,Atlanta - GA,2024-12-31,Class B
2029-12-31,4895.0,255752.359375,284896.0,4873.0,Atlanta - GA,2024-12-31,Class B
2024-12-31,-233.0,101729.734375,115104.0,-24.0,Atlanta - GA,2024-12-31,Class C
2025-12-31,-1190.0,100540.3828125,114214.0,-890.0,Atlanta - GA,2024-12-31,Class C
2026-12-31,-1309.0,99231.390625,113218.0,-996.0,Atlanta - GA,2024-12-31,Class C
2027-12-31,-1310.0,97920.1015625,112223.0,-995.0,Atlanta - GA,2024-12-31,Class C
2028-12-31,-1016.0,96903.65625,111217.0,-1006.0,Atlanta - GA,2024-12-31,Class C
2029-12-31,-861.0,96042.4765625,110192.0,-1025.0,Atlanta - GA,2024-12-31,Class C
2024-12-31,188.0,3187.70336914063,3678.0,262.0,Augusta - GA,2024-12-31,Class A
2025-12-31,86.0,3274.70092773438,3678.0,0.0,Augusta - GA,2024-12-31,Class A
2026-12-31,70.0,3345.4482421875,3736.0,58.0,Augusta - GA,2024-12-31,Class A
2027-12-31,110.0,3455.01733398438,3906.0,170.0,Augusta - GA,2024-12-31,Class A
2028-12-31,189.0,3644.65161132813,4116.0,210.0,Augusta - GA,2024-12-31,Class A
2029-12-31,196.0,3840.00756835938,4337.0,221.0,Augusta - GA,2024-12-31,Class A
2024-12-31,157.0,13196.6884765625,15225.0,752.0,Augusta - GA,2024-12-31,Class B
2025-12-31,635.0,13832.5439453125,16222.0,997.0,Augusta - GA,2024-12-31,Class B
2026-12-31,511.0,14343.6123046875,16369.0,147.0,Augusta - GA,2024-12-31,Class B
2027-12-31,325.0,14668.5185546875,16600.0,231.0,Augusta - GA,2024-12-31,Class B
2028-12-31,269.0,14937.1708984375,16886.0,286.0,Augusta - GA,2024-12-31,Class B
2029-12-31,282.0,15218.51953125,17186.0,300.0,Augusta - GA,2024-12-31,Class B
2024-12-31,14.0,9831.3046875,11473.0,0.0,Augusta - GA,2024-12-31,Class C
2025-12-31,-55.0,9775.8876953125,11465.0,-8.0,Augusta - GA,2024-12-31,Class C
2026-12-31,-61.0,9715.1015625,11453.0,-12.0,Augusta - GA,2024-12-31,Class C
2027-12-31,-59.0,9657.591796875,11441.0,-12.0,Augusta - GA,2024-12-31,Class C
2028-12-31,-9.0,9649.140625,11430.0,-11.0,Augusta - GA,2024-12-31,Class C
2029-12-31,6.0,9654.8046875,11419.0,-11.0,Augusta - GA,2024-12-31,Class C
2024-12-31,7904.0,90584.3984375,107891.0,12433.0,Austin - TX,2024-12-31,Class A
2025-12-31,4502.0,95087.234375,112317.0,4426.0,Austin - TX,2024-12-31,Class A
2026-12-31,4524.0,99611.2109375,115101.0,2784.0,Austin - TX,2024-12-31,Class A
2027-12-31,4029.0,103639.5625,118267.0,3166.0,Austin - TX,2024-12-31,Class A
2028-12-31,4902.0,108540.34375,123053.0,4786.0,Austin - TX,2024-12-31,Class A
2029-12-31,6009.0,114549.4765625,128858.0,5805.0,Austin - TX,2024-12-31,Class A
2024-12-31,10375.0,137497.5625,163941.0,16445.0,Austin - TX,2024-12-31,Class B
2025-12-31,5775.0,143272.65625,169436.0,5495.0,Austin - TX,2024-12-31,Class B
2026-12-31,6037.0,149309.84375,173339.0,3903.0,Austin - TX,2024-12-31,Class B
2027-12-31,5418.0,154728.09375,176817.0,3478.0,Austin - TX,2024-12-31,Class B
2028-12-31,4991.0,159720.578125,180285.0,3468.0,Austin - TX,2024-12-31,Class B
2029-12-31,4567.0,164287.671875,184495.0,4210.0,Austin - TX,2024-12-31,Class B
2024-12-31,-547.0,38009.3984375,42951.0,-9.0,Austin - TX,2024-12-31,Class C
2025-12-31,-368.0,37640.71484375,42719.0,-232.0,Austin - TX,2024-12-31,Class C
2026-12-31,-456.0,37184.52734375,42461.0,-258.0,Austin - TX,2024-12-31,Class C
2027-12-31,-435.0,36749.0546875,42111.0,-350.0,Austin - TX,2024-12-31,Class C
2028-12-31,-419.0,36330.20703125,41787.0,-324.0,Austin - TX,2024-12-31,Class C
2029-12-31,-432.0,35897.81640625,41464.0,-323.0,Austin - TX,2024-12-31,Class C
2024-12-31,32.0,2041.93835449219,2086.0,0.0,Bakersfield - CA,2024-12-31,Class A
2025-12-31,-5.0,2036.27502441406,2086.0,0.0,Bakersfield - CA,2024-12-31,Class A
2026-12-31,1.0,2036.53674316406,2091.0,5.0,Bakersfield - CA,2024-12-31,Class A
2027-12-31,24.0,2060.71508789063,2122.0,31.0,Bakersfield - CA,2024-12-31,Class A
2028-12-31,41.0,2100.72802734375,2167.0,45.0,Bakersfield - CA,2024-12-31,Class A
2029-12-31,46.0,2147.54614257813,2217.0,50.0,Bakersfield - CA,2024-12-31,Class A
2024-12-31,103.0,9665.3603515625,10315.0,386.0,Bakersfield - CA,2024-12-31,Class B
2025-12-31,105.0,9770.3984375,10314.0,-1.0,Bakersfield - CA,2024-12-31,Class B
2026-12-31,129.0,9900.3349609375,10361.0,47.0,Bakersfield - CA,2024-12-31,Class B
2027-12-31,57.0,9957.2099609375,10377.0,16.0,Bakersfield - CA,2024-12-31,Class B
2028-12-31,43.0,9999.5869140625,10400.0,23.0,Bakersfield - CA,2024-12-31,Class B
2029-12-31,35.0,10034.7041015625,10426.0,26.0,Bakersfield - CA,2024-12-31,Class B
2024-12-31,-35.0,13240.26171875,13919.0,0.0,Bakersfield - CA,2024-12-31,Class C
2025-12-31,-45.0,13195.5419921875,13913.0,-6.0,Bakersfield - CA,2024-12-31,Class C
2026-12-31,-21.0,13172.646484375,13907.0,-6.0,Bakersfield - CA,2024-12-31,Class C
2027-12-31,27.0,13199.900390625,13901.0,-6.0,Bakersfield - CA,2024-12-31,Class C
2028-12-31,23.0,13222.1748046875,13895.0,-6.0,Bakersfield - CA,2024-12-31,Class C
2029-12-31,5.0,13227.884765625,13889.0,-6.0,Bakersfield - CA,2024-12-31,Class C
2024-12-31,3711.0,38084.9453125,40756.0,2268.0,Baltimore - MD,2024-12-31,Class A
2025-12-31,1060.0,39145.19140625,41977.0,1221.0,Baltimore - MD,2024-12-31,Class A
2026-12-31,1165.0,40310.421875,42982.0,1005.0,Baltimore - MD,2024-12-31,Class A
2027-12-31,1501.0,41811.29296875,44716.0,1734.0,Baltimore - MD,2024-12-31,Class A
2028-12-31,1996.0,43808.23828125,46959.0,2243.0,Baltimore - MD,2024-12-31,Class A
2029-12-31,2186.0,45993.69921875,49330.0,2371.0,Baltimore - MD,2024-12-31,Class A
2024-12-31,1385.0,78372.515625,83578.0,1460.0,Baltimore - MD,2024-12-31,Class B
2025-12-31,780.0,79151.8359375,83899.0,321.0,Baltimore - MD,2024-12-31,Class B
2026-12-31,520.0,79672.890625,84166.0,267.0,Baltimore - MD,2024-12-31,Class B
2027-12-31,703.0,80375.609375,84528.0,362.0,Baltimore - MD,2024-12-31,Class B
2028-12-31,588.0,80963.640625,84997.0,469.0,Baltimore - MD,2024-12-31,Class B
2029-12-31,519.0,81482.2734375,85493.0,496.0,Baltimore - MD,2024-12-31,Class B
2024-12-31,-301.0,82973.3046875,88940.0,-16.0,Baltimore - MD,2024-12-31,Class C
2025-12-31,168.0,83141.984375,88870.0,-70.0,Baltimore - MD,2024-12-31,Class C
2026-12-31,134.0,83276.9140625,88788.0,-82.0,Baltimore - MD,2024-12-31,Class C
2027-12-31,289.0,83566.59375,88710.0,-78.0,Baltimore - MD,2024-12-31,Class C
2028-12-31,68.0,83634.8359375,88636.0,-74.0,Baltimore - MD,2024-12-31,Class C
2029-12-31,-59.0,83574.90625,88562.0,-74.0,Baltimore - MD,2024-12-31,Class C
2024-12-31,297.0,6213.48388671875,7356.0,588.0,Baton Rouge - LA,2024-12-31,Class A
2025-12-31,267.0,6480.53271484375,7356.0,0.0,Baton Rouge - LA,2024-12-31,Class A
2026-12-31,161.0,6642.56494140625,7423.0,67.0,Baton Rouge - LA,2024-12-31,Class A
2027-12-31,151.0,6793.66064453125,7617.0,194.0,Baton Rouge - LA,2024-12-31,Class A
2028-12-31,229.0,7022.1123046875,7857.0,240.0,Baton Rouge - LA,2024-12-31,Class A
