date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,date_calculated,slice
2024-12-31,0.0815140083432198,0.0538629256188869,1638.65295410156,-0.0026326601561523,113277.5435,0.812254726886749,0.0,,,Akron - OH,2024-12-31,Class A
2025-12-31,0.0828140079975128,0.033507764339447,1693.560546875,0.0241335948126846,116011.3378,0.796994626522064,16197.103866589718,0.54,7450.667778631269,Akron - OH,2024-12-31,Class A
2026-12-31,0.0811140090227127,0.0290846843272448,1742.81726074219,0.0602883675471976,123005.472,0.810652017593384,16953.819944606774,0.54,7798.757174519115,Akron - OH,2024-12-31,Class A
2027-12-31,0.0779140070080757,0.0187651980668306,1775.52160644531,0.0670582873817636,131254.0083,0.812314987182617,17307.393731784978,0.54,7961.401116621089,Akron - OH,2024-12-31,Class A
2028-12-31,0.0744140073657036,0.013880874030292,1800.16735839844,0.0667588761891283,140016.3784,0.81270557641983,17556.072607912403,0.54,8075.793399639705,Akron - OH,2024-12-31,Class A
2029-12-31,0.0723140090703964,0.008263548836112,1815.04309082031,0.0422655113618088,145934.2422,0.8121018409729,17687.998026003796,0.54,8136.479091961745,Akron - OH,2024-12-31,Class A
2024-12-31,0.0836512371897697,0.0541853122413158,1340.09594726563,0.0035306890096831,96584.0093,0.916704416275024,0.0,,,Akron - OH,2024-12-31,Class B
2025-12-31,0.0849512368440628,0.0432531461119652,1398.05920410156,0.0302989929493761,99510.4075,0.928375422954559,15575.0856590796,0.54,7164.539403176615,Akron - OH,2024-12-31,Class B
2026-12-31,0.0832512378692627,0.0380273312330246,1451.22375488281,0.0654210615733538,106020.484,0.929556608200073,16187.935575938869,0.54,7446.450364931879,Akron - OH,2024-12-31,Class B
2027-12-31,0.0800512433052063,0.0276112630963326,1491.29382324219,0.0720286653007736,113656.998,0.928471386432648,16615.483723729445,0.54,7643.122512915545,Akron - OH,2024-12-31,Class B
2028-12-31,0.0765512362122536,0.0226859673857689,1525.12524414063,0.0717352045692595,121810.206,0.926626861095428,16958.664213065163,0.54,7800.985538009974,Akron - OH,2024-12-31,Class B
2029-12-31,0.0744512379169464,0.016835056245327,1550.80090332031,0.0472565637643606,127566.5377,0.924404501914978,17202.808039237312,0.54,7913.291698049163,Akron - OH,2024-12-31,Class B
2024-12-31,0.0937786847352982,0.0378797873854637,927.647155761719,0.0182435560948542,59430.0832,0.943245470523834,0.0,,,Akron - OH,2024-12-31,Class C
2025-12-31,0.0950786843895912,0.0445159003138542,968.942199707031,0.0329672870418958,61389.3318,0.938620209693909,10913.62476804349,0.54,5020.267393300005,Akron - OH,2024-12-31,Class C
2026-12-31,0.0933786854147911,0.0390665642917156,1006.79541015625,0.0643307448125711,65338.5533,0.938192188739777,11334.811073611845,0.54,5214.013093861448,Akron - OH,2024-12-31,Class C
2027-12-31,0.0901786834001541,0.028852442279458,1035.84399414063,0.0691140057903138,69854.3624,0.938706457614899,11668.241356577028,0.54,5367.391024025433,Akron - OH,2024-12-31,Class C
2028-12-31,0.086678683757782,0.0238813851028681,1060.58129882813,0.0680980599652267,74611.309,0.937546908855438,11932.136619674386,0.54,5488.782845050217,Akron - OH,2024-12-31,Class C
2029-12-31,0.0845786854624748,0.018043976277113,1079.71838378906,0.0454194458202777,78000.1133,0.935784757137299,12124.608066608671,0.54,5577.319710639988,Akron - OH,2024-12-31,Class C
2024-12-31,0.0728058740496635,0.0118783125653863,1887.390625,-0.038088115453844,247854.1001,0.966800332069397,0.0,,,Albany - NY,2024-12-31,Class A
2025-12-31,0.0741058737039566,0.0376001037657261,1958.35668945313,0.0205818892569203,252955.4057,0.944759547710419,22202.11416220095,0.54,10212.972514612436,Albany - NY,2024-12-31,Class A
2026-12-31,0.0724058747291565,0.0374441370368004,2031.68566894531,0.0660800617516812,269670.7145,0.95420378446579,23263.7058498303,0.54,10701.304690921937,Albany - NY,2024-12-31,Class A
2027-12-31,0.0692058727145195,0.0280973110347986,2088.7705078125,0.0775781508065373,290591.2699,0.945331037044525,23694.955083580917,0.54,10899.67933844722,Albany - NY,2024-12-31,Class A
2028-12-31,0.0657058730721474,0.0248884465545416,2140.7568359375,0.0807463398344942,314055.4513,0.941077053546906,24175.405626293516,0.54,11120.686588095015,Albany - NY,2024-12-31,Class A
2029-12-31,0.0636058747768402,0.0192193109542131,2181.90063476563,0.053970297577867,331005.1175,0.939965009689331,24610.923015583594,0.54,11321.024587168453,Albany - NY,2024-12-31,Class A
2024-12-31,0.0778076872229576,0.036664079874754,1670.10546875,-0.0385039793699008,183695.2961,0.950102806091309,0.0,,,Albany - NY,2024-12-31,Class B
2025-12-31,0.0791076868772507,0.036561481654644,1731.1669921875,0.0204036672971257,187443.3538,0.949677765369415,19728.609607462997,0.54,9075.160419432978,Albany - NY,2024-12-31,Class B
2026-12-31,0.0774076879024506,0.036795724183321,1794.86657714844,0.0648137014590882,199592.2514,0.949739396572113,20455.86599890096,0.54,9409.698359494441,Albany - NY,2024-12-31,Class B
2027-12-31,0.0742076858878136,0.0284999348223209,1846.02014160156,0.0763922644177712,214839.5554,0.954161584377289,21136.818037235185,0.54,9722.936297128184,Albany - NY,2024-12-31,Class B
2028-12-31,0.0707076862454414,0.0257898475974798,1893.62878417969,0.0796826422723632,231958.5389,0.954461574554443,21688.75093163715,0.54,9976.82542855309,Albany - NY,2024-12-31,Class B
