date,absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,market,date_calculated,slice
2026-12-31,126.0,4870.255859375,5103.0,82.0,"Albany,New York",2024-12-31,Class A
2027-12-31,208.0,5078.318359375,5371.0,268.0,"Albany,New York",2024-12-31,Class A
2028-12-31,300.0,5379.1962890625,5715.0,344.0,"Albany,New York",2024-12-31,Class A
2029-12-31,343.0,5720.626953125,6086.0,371.0,"Albany,New York",2024-12-31,Class A
2024-12-31,636.0,26000.513671875,27366.0,787.0,"Albany,New York",2024-12-31,Class B
2025-12-31,324.0,26326.017578125,27720.0,354.0,"Albany,New York",2024-12-31,Class B
2026-12-31,460.0,26785.5,28203.0,483.0,"Albany,New York",2024-12-31,Class B
2027-12-31,432.0,27217.458984375,28525.0,322.0,"Albany,New York",2024-12-31,Class B
2028-12-31,403.0,27621.1640625,28939.0,414.0,"Albany,New York",2024-12-31,Class B
2029-12-31,409.0,28030.63671875,29384.0,445.0,"Albany,New York",2024-12-31,Class B
2024-12-31,-15.0,24533.921875,25741.0,0.0,"Albany,New York",2024-12-31,Class C
2025-12-31,-77.0,24455.658203125,25769.0,28.0,"Albany,New York",2024-12-31,Class C
2026-12-31,12.0,24467.900390625,25755.0,-14.0,"Albany,New York",2024-12-31,Class C
2027-12-31,34.0,24501.50390625,25742.0,-13.0,"Albany,New York",2024-12-31,Class C
2028-12-31,17.0,24518.490234375,25729.0,-13.0,"Albany,New York",2024-12-31,Class C
2029-12-31,-13.0,24505.509765625,25715.0,-14.0,"Albany,New York",2024-12-31,Class C
2024-12-31,4.0,645.008483886719,675.0,0.0,"Albany,Oregon",2024-12-31,Class A
2025-12-31,-1.0,643.283813476563,675.0,0.0,"Albany,Oregon",2024-12-31,Class A
2026-12-31,0.0,643.729797363281,678.0,3.0,"Albany,Oregon",2024-12-31,Class A
2027-12-31,17.0,660.420593261719,701.0,23.0,"Albany,Oregon",2024-12-31,Class A
2028-12-31,28.0,689.288696289063,734.0,33.0,"Albany,Oregon",2024-12-31,Class A
2029-12-31,32.0,721.873229980469,771.0,37.0,"Albany,Oregon",2024-12-31,Class A
2024-12-31,17.0,2396.59350585938,2559.0,0.0,"Albany,Oregon",2024-12-31,Class B
2025-12-31,-9.0,2387.11328125,2558.0,-1.0,"Albany,Oregon",2024-12-31,Class B
2026-12-31,-5.0,2381.7216796875,2563.0,5.0,"Albany,Oregon",2024-12-31,Class B
2027-12-31,21.0,2403.5478515625,2590.0,27.0,"Albany,Oregon",2024-12-31,Class B
