date,market_cap_rate,market_effective_rent_growth_12_mo,market_effective_rentunit,market_sale_price_growth,market_sale_price_per_unit,occupancy_rate,revenue,opex,noi,market,date_calculated,slice
2024-12-31,0.0765833109617233,-0.0048071364872157,1097.14587402344,-0.0317609007893316,210768.6404,0.973798155784607,0.0,,0.0,"Abilene,Texas",2024-12-31,Class A
2025-12-31,0.0777833089232445,0.0373613052070141,1138.13671875,0.0238688617486311,215799.448,0.967843115329742,13218.453450554045,0.54,6080.48858725486,"Abilene,Texas",2024-12-31,Class A
2026-12-31,0.0762833133339882,0.0451079644262791,1189.47570800781,0.0753822161595898,232066.8886,0.948243141174316,13534.94618054243,0.54,6226.075243049518,"Abilene,Texas",2024-12-31,Class A
2027-12-31,0.0733833089470863,0.0319877229630947,1227.52429199219,0.0819843022786954,251092.7305,0.93411785364151,13759.828283142704,0.54,6329.521010245643,"Abilene,Texas",2024-12-31,Class A
2028-12-31,0.0701833143830299,0.0287032220512629,1262.75817871094,0.0852415139713144,272496.255,0.931136667728424,14109.60531206062,0.54,6490.418443547885,"Abilene,Texas",2024-12-31,Class A
2029-12-31,0.0681833103299141,0.0232122279703617,1292.06970214844,0.0599177149655714,288823.608,0.930207431316376,14422.714064606584,0.54,6634.448469719028,"Abilene,Texas",2024-12-31,Class A
2024-12-31,0.0790686458349228,0.0185393150895834,1008.78771972656,-0.0215354554079891,83240.2234,0.878705680370331,0.0,,0.0,"Abilene,Texas",2024-12-31,Class B
2025-12-31,0.0802686437964439,0.0327900312840939,1041.86596679688,0.018928965433352,84815.8747,0.889904975891113,11125.940496769783,0.54,5117.9326285141,"Abilene,Texas",2024-12-31,Class B
2026-12-31,0.0787686482071877,0.0414088778197765,1085.00842285156,0.0677499382586533,90562.145,0.885079860687256,11523.829244903498,0.54,5300.961452655609,"Abilene,Texas",2024-12-31,Class B
2027-12-31,0.0758686438202858,0.0300198756158352,1117.58020019531,0.0741209702933485,97274.6991,0.882371783256531,11833.45481014232,0.54,5443.389212665467,"Abilene,Texas",2024-12-31,Class B
2028-12-31,0.0726686492562294,0.0269274953752756,1147.673828125,0.0767183913957102,104737.4575,0.881531417369843,12140.526436623657,0.54,5584.642160846882,"Abilene,Texas",2024-12-31,Class B
2029-12-31,0.0706686452031136,0.0211893022060394,1171.99230957031,0.0527910694245143,110266.6599,0.879698991775513,12372.00543717188,0.54,5691.122501099064,"Abilene,Texas",2024-12-31,Class B
2024-12-31,0.0779459774494171,0.0307861343026161,876.0244140625,-0.023062313943354,64885.2565,0.916907846927643,0.0,,0.0,"Abilene,Texas",2024-12-31,Class C
