,date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,latitude,longitude
0,2024-12-31,2029-12-31,Class A,Texas,Abilene,"Abilene,Texas",10180,G2-10180,183054.703125,210768.6404,126461.18424,84307.45616,0.06503857758202591,0.06551785612875868,0.0645,0.0010178561287586818,84.00000631809193,0.19216704349684188,57842.744005845605,2.2610602646074,0.9465592582845898,0.04037301658216719,0.04972953232623434,32.44645,-99.7475905
0,2024-12-31,2029-12-31,Class B,Texas,Abilene,"Abilene,Texas",10180,G2-10180,183054.703125,83240.2234,49944.13404,33296.089360000005,0.05784538684286811,0.1417481933995173,0.0645,0.0772481933995173,84.00000631809206,0.33606188412962656,46368.22288419345,3.0998024405143276,0.8830022924322535,0.003917454128099074,0.003645953528098378,32.44645,-99.7475905
0,2024-12-31,2029-12-31,Class C,Texas,Abilene,"Abilene,Texas",10180,G2-10180,183054.703125,64885.2565,38931.1539,25954.102600000006,0.06000763463089509,0.16255840996122237,0.0645,0.09805840996122236,84.00000631809206,0.38226164624935777,42377.58719386647,3.393914552070867,0.9061462726916628,-0.0042690460495111715,-0.00048605649073052426,32.44645,-99.7475905
0,2024-12-31,2029-12-31,Class A,Ohio,Akron,"Akron,Ohio",10420,G2-10420,697928.875,113277.5435,67966.5261,45311.0174,0.05196835805717526,0.15131399486412359,0.0645,0.08681399486412358,91.99999272823403,0.3492214371477278,64625.666396812325,3.12839807498226,0.8097971186284694,0.019890519414514474,0.01973908370578048,41.083064,-81.518485
0,2024-12-31,2029-12-31,Class B,Ohio,Akron,"Akron,Ohio",10420,G2-10420,697928.875,96584.0093,57950.40558,38633.60372000001,0.05722228214760783,0.1709185149990463,0.0645,0.10641851499904631,91.99999272823305,0.3973060992623929,65227.41776451675,3.45468945891803,0.9257149302602122,0.00843022982734909,0.006757371724215089,41.083064,-81.518485
0,2024-12-31,2029-12-31,Class C,Ohio,Akron,"Akron,Ohio",10420,G2-10420,697928.875,59430.0832,35658.04992,23772.033280000003,0.055887817255954264,0.19509789912094694,0.0645,0.13059789912094694,91.99999272823403,0.4471648005646678,45725.75988228089,3.7361450372879257,0.9387191154170835,-0.0014839865373864614,0.00010314401937261408,41.083064,-81.518485
0,2024-12-31,2029-12-31,Class A,Georgia,Albany,"Albany,Georgia",10500,G2-10500,148724.90625,53001.2863,31800.77178,21200.51452,0.06430275356669712,0.2569296417571645,0.0645,0.19242964175716448,77.00003683566992,0.5872177783051289,56392.707937387146,4.641889551159324,0.964088953458347,-0.004391896341956136,0.0,31.5782062,-84.1556809
0,2024-12-31,2029-12-31,Class B,Georgia,Albany,"Albany,Georgia",10500,G2-10500,148724.90625,59122.3157,35473.38942,23648.92628,0.0591786254918889,0.17977644951216484,0.0645,0.11527644951216484,76.99996232986506,0.41806625596198677,42617.331793668476,3.5960775555966,0.882351269134812,-0.004534646022666622,-6.49434997035403e-05,31.5782062,-84.1556809
0,2024-12-31,2029-12-31,Class C,Georgia,Albany,"Albany,Georgia",10500,G2-10500,148724.90625,57366.9898,34420.19388,22946.795920000004,0.0550325032080603,0.15817681858575564,0.0645,0.09367681858575563,77.00003683567006,0.36803443269966785,35152.29367257993,3.2613636015518925,0.7993159622318142,-0.0059329480927760025,-0.0007499326682176566,31.5782062,-84.1556809
0,2024-12-31,2029-12-31,Class A,New York,Albany,"Albany,New York",10580,G2-10580,900002.8125,247854.1001,148712.46006,99141.64004,0.059565283178885764,0.09517462385322814,0.0645,0.03067462385322814,91.99999272823305,0.24239208544170276,92171.09753990556,2.5446421171402203,0.9481178241961634,0.047177448583413994,0.053089543681323015,42.6511674,-73.754968
0,2024-12-31,2029-12-31,Class B,New York,Albany,"Albany,New York",10580,G2-10580,900002.8125,183695.2961,110217.17766,73478.11844,0.05874939142411484,0.11445139697894292,0.06450000000000002,0.04995139697894291,91.99999272823293,0.2802693055723664,82266.6892096195,2.7727671142878254,0.9520638721478867,0.015149971975450871,0.014331513687125597,42.6511674,-73.754968
0,2024-12-31,2029-12-31,Class C,New York,Albany,"Albany,New York",10580,G2-10580,900002.8125,112940.2741,67764.16446,45176.109639999995,0.05730933390299642,0.15214920136481516,0.0645,0.08764920136481516,91.99999272823305,0.35671949952450577,67483.7426653423,3.221432679629949,0.951647994347722,-0.00023172226607803825,-0.00020209402131310394,42.6511674,-73.754968
0,2024-12-31,2029-12-31,Class A,Oregon,Albany,"Albany,Oregon",10540,G2-10540,131576.703125,182043.2829,109225.96973999999,72817.31316,0.06373929198473083,0.11260300959335216,0.0645,0.04810300959335216,73.99998605251298,0.28417594688909587,84361.68198954785,2.828778988593214,0.9455844625077502,0.022772640370932296,0.026951943267117695,44.6365071,-123.1059324
0,2024-12-31,2029-12-31,Class B,Oregon,Albany,"Albany,Oregon",10540,G2-10540,131576.703125,182204.6962,109322.81772,72881.87848,0.06359984047830469,0.10103467635552223,0.0645,0.036534676355522225,74.00002330541604,0.26025165280016305,75553.06998212554,2.6819435118436896,0.9302626606861839,0.006472283595526651,0.008528545628152306,44.6365071,-123.1059324
