,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,market,date_cashflow,slice
2029-12-31,0.0,78000.1133,12124.608066608671,5577.319710639988,-2299.9442198399997,-35658.04992,78000.1133,45619.43887079999,"Akron,Ohio",2024-12-31,Class C
2024-12-31,-21200.51452,53001.2863,0.0,0.0,0.0,0.0,0.0,-21200.51452,"Albany,Georgia",2024-12-31,Class A
2025-12-31,0.0,54578.0089,12711.299319845513,5847.197687128935,-2051.14977981,0.0,0.0,3796.0479073189354,"Albany,Georgia",2024-12-31,Class A
2026-12-31,0.0,58705.522,13228.527312390246,6085.122563699513,-2051.14977981,0.0,0.0,4033.9727838895133,"Albany,Georgia",2024-12-31,Class A
2027-12-31,0.0,63407.3026,13626.334402172768,6268.113824999473,-2051.14977981,0.0,0.0,4216.964045189473,"Albany,Georgia",2024-12-31,Class A
2028-12-31,0.0,68480.0696,14065.989613713147,6470.355222308047,-2051.14977981,0.0,0.0,4419.205442498047,"Albany,Georgia",2024-12-31,Class A
2029-12-31,0.0,72378.96,14455.856860517877,6649.694155838223,-2051.14977981,-31800.77178,72378.96,45176.73259602823,"Albany,Georgia",2024-12-31,Class A
2024-12-31,-23648.92628,59122.3157,0.0,0.0,0.0,0.0,0.0,-23648.92628,"Albany,Georgia",2024-12-31,Class B
2025-12-31,0.0,60621.8682,10019.007783060297,4608.743580207736,-2288.03361759,0.0,0.0,2320.709962617736,"Albany,Georgia",2024-12-31,Class B
2026-12-31,0.0,64873.341,10377.351982395192,4773.581911901788,-2288.03361759,0.0,0.0,2485.5482943117877,"Albany,Georgia",2024-12-31,Class B
2027-12-31,0.0,69709.1101,10641.404018078494,4895.045848316107,-2288.03361759,0.0,0.0,2607.012230726107,"Albany,Georgia",2024-12-31,Class B
2028-12-31,0.0,74910.187,10930.96221337785,5028.24261815381,-2288.03361759,0.0,0.0,2740.20900056381,"Albany,Georgia",2024-12-31,Class B
2029-12-31,0.0,78812.9305,11175.274020504767,5140.626049432192,-2288.03361759,-35473.38942,78812.9305,46192.1335118422,"Albany,Georgia",2024-12-31,Class B
2024-12-31,-22946.795920000004,57366.9898,0.0,0.0,0.0,0.0,0.0,-22946.795920000004,"Albany,Georgia",2024-12-31,Class C
2025-12-31,0.0,58593.4876,8651.281430395029,3979.589457981713,-2220.10250526,0.0,0.0,1759.4869527217134,"Albany,Georgia",2024-12-31,Class C
2026-12-31,0.0,62452.2413,8910.447296093018,4098.805756202788,-2220.10250526,0.0,0.0,1878.7032509427881,"Albany,Georgia",2024-12-31,Class C
2027-12-31,0.0,66835.8387,9084.56891627528,4178.901701486629,-2220.10250526,0.0,0.0,1958.7991962266287,"Albany,Georgia",2024-12-31,Class C
2028-12-31,0.0,71539.7252,9282.429710105795,4269.9176666486655,-2220.10250526,0.0,0.0,2049.8151613886657,"Albany,Georgia",2024-12-31,Class C
2029-12-31,0.0,74987.9117,9441.912339158353,4343.279676012842,-2220.10250526,-34420.19388,74987.9117,42690.894990752844,"Albany,Georgia",2024-12-31,Class C
2024-12-31,-99141.64004,247854.1001,0.0,0.0,0.0,0.0,0.0,-99141.64004,"Albany,New York",2024-12-31,Class A
2025-12-31,0.0,252955.4057,22202.11416220095,10212.972514612436,-9591.95367387,0.0,0.0,621.0188407424357,"Albany,New York",2024-12-31,Class A
2026-12-31,0.0,269670.7145,23263.7058498303,10701.304690921937,-9591.95367387,0.0,0.0,1109.3510170519367,"Albany,New York",2024-12-31,Class A
2027-12-31,0.0,290591.2699,23694.955083580917,10899.67933844722,-9591.95367387,0.0,0.0,1307.7256645772195,"Albany,New York",2024-12-31,Class A
2028-12-31,0.0,314055.4513,24175.405626293516,11120.686588095015,-9591.95367387,0.0,0.0,1528.7329142250146,"Albany,New York",2024-12-31,Class A
2029-12-31,0.0,331005.1175,24610.923015583594,11321.024587168453,-9591.95367387,-148712.46006,331005.1175,184021.72835329844,"Albany,New York",2024-12-31,Class A
2024-12-31,-73478.11844,183695.2961,0.0,0.0,0.0,0.0,0.0,-73478.11844,"Albany,New York",2024-12-31,Class B
2025-12-31,0.0,187443.3538,19728.609607462997,9075.160419432978,-7109.007959070001,0.0,0.0,1966.1524603629769,"Albany,New York",2024-12-31,Class B
2026-12-31,0.0,199592.2514,20455.86599890096,9409.698359494441,-7109.007959070001,0.0,0.0,2300.6904004244407,"Albany,New York",2024-12-31,Class B
2027-12-31,0.0,214839.5554,21136.818037235185,9722.936297128184,-7109.007959070001,0.0,0.0,2613.9283380581837,"Albany,New York",2024-12-31,Class B
2028-12-31,0.0,231958.5389,21688.75093163715,9976.82542855309,-7109.007959070001,0.0,0.0,2867.8174694830886,"Albany,New York",2024-12-31,Class B
2029-12-31,0.0,244379.0116,22110.87171029154,10171.000986734107,-7109.007959070001,-110217.17766,244379.0116,137223.82696766412,"Albany,New York",2024-12-31,Class B
2024-12-31,-45176.109639999995,112940.2741,0.0,0.0,0.0,0.0,0.0,-45176.109639999995,"Albany,New York",2024-12-31,Class C
2025-12-31,0.0,115425.4316,16111.418182798663,7411.252364087384,-4370.78860767,0.0,0.0,3040.4637564173845,"Albany,New York",2024-12-31,Class C
2026-12-31,0.0,122753.029,16726.71789617278,7694.290232239478,-4370.78860767,0.0,0.0,3323.5016245694787,"Albany,New York",2024-12-31,Class C
2027-12-31,0.0,131800.9015,17249.28239096591,7934.669899844318,-4370.78860767,0.0,0.0,3563.8812921743183,"Albany,New York",2024-12-31,Class C
2028-12-31,0.0,141878.3674,17730.770386974735,8156.1543780083775,-4370.78860767,0.0,0.0,3785.365770338378,"Albany,New York",2024-12-31,Class C
2029-12-31,0.0,149231.0409,18100.673674279482,8326.30989016856,-4370.78860767,-67764.16446,149231.0409,85422.39772249856,"Albany,New York",2024-12-31,Class C
2024-12-31,-72817.31316,182043.2829,0.0,0.0,0.0,0.0,0.0,-72817.31316,"Albany,Oregon",2024-12-31,Class A
2025-12-31,0.0,187046.5532,19286.595337142877,8871.833855085722,-7045.075048229999,0.0,0.0,1826.7588068557234,"Albany,Oregon",2024-12-31,Class A
2026-12-31,0.0,200796.6522,20031.431062862517,9214.458288916758,-7045.075048229999,0.0,0.0,2169.3832406867587,"Albany,Oregon",2024-12-31,Class A
2027-12-31,0.0,217117.1815,20552.992204695816,9454.376414160075,-7045.075048229999,0.0,0.0,2409.301365930076,"Albany,Oregon",2024-12-31,Class A
2028-12-31,0.0,234740.8705,21081.484323299945,9697.482788717974,-7045.075048229999,0.0,0.0,2652.4077404879754,"Albany,Oregon",2024-12-31,Class A
2029-12-31,0.0,247942.3228,21540.60472596897,9908.678173945726,-7045.075048229999,-109225.96973999999,247942.3228,141579.95618571574,"Albany,Oregon",2024-12-31,Class A
2024-12-31,-72881.87848,182204.6962,0.0,0.0,0.0,0.0,0.0,-72881.87848,"Albany,Oregon",2024-12-31,Class B
2025-12-31,0.0,186867.1071,17247.754041079108,7933.966858896389,-7051.321742940001,0.0,0.0,882.6451159563876,"Albany,Oregon",2024-12-31,Class B
2026-12-31,0.0,200375.3572,17906.03136359654,8236.774427254408,-7051.321742940001,0.0,0.0,1185.4526843144067,"Albany,Oregon",2024-12-31,Class B
2027-12-31,0.0,216742.9119,18474.36245790914,8498.206730638205,-7051.321742940001,0.0,0.0,1446.884987698204,"Albany,Oregon",2024-12-31,Class B
2028-12-31,0.0,234602.4928,18997.544146404827,8738.87030734622,-7051.321742940001,0.0,0.0,1687.5485644062192,"Albany,Oregon",2024-12-31,Class B
2029-12-31,0.0,247999.545,19419.270546126645,8932.864451218256,-7051.321742940001,-109322.81772,247999.545,140558.26998827828,"Albany,Oregon",2024-12-31,Class B
2024-12-31,-48497.487680000006,121243.7192,0.0,0.0,0.0,0.0,0.0,-48497.487680000006,"Albany,Oregon",2024-12-31,Class C
2025-12-31,0.0,124640.6167,13847.572846421368,6369.883509353829,-4692.13193304,0.0,0.0,1677.751576313829,"Albany,Oregon",2024-12-31,Class C
2026-12-31,0.0,133765.0304,14430.286653676063,6637.931860690988,-4692.13193304,0.0,0.0,1945.7999276509881,"Albany,Oregon",2024-12-31,Class C
2027-12-31,0.0,144767.1807,14984.251245687723,6892.755573016352,-4692.13193304,0.0,0.0,2200.623639976352,"Albany,Oregon",2024-12-31,Class C
2028-12-31,0.0,156764.684,15490.43765316392,7125.601320455402,-4692.13193304,0.0,0.0,2433.469387415402,"Albany,Oregon",2024-12-31,Class C
2029-12-31,0.0,165927.3439,15901.985862124717,7314.913496577369,-4692.13193304,-72746.23152,165927.3439,95803.89394353738,"Albany,Oregon",2024-12-31,Class C
2024-12-31,-83573.20236,208933.0059,0.0,0.0,0.0,0.0,0.0,-83573.20236,"Albuquerque,New Mexico",2024-12-31,Class A
2025-12-31,0.0,211774.0329,17364.500111510843,7987.670051294987,-8085.70732833,0.0,0.0,-98.03727703501227,"Albuquerque,New Mexico",2024-12-31,Class A
2026-12-31,0.0,227535.9051,19123.44774572882,8796.785963035256,-8085.70732833,0.0,0.0,711.0786347052563,"Albuquerque,New Mexico",2024-12-31,Class A
2027-12-31,0.0,247832.0089,20081.83349058902,9237.643405670948,-8085.70732833,0.0,0.0,1151.936077340948,"Albuquerque,New Mexico",2024-12-31,Class A
2028-12-31,0.0,271380.7221,20616.018593729485,9483.368553115562,-8085.70732833,0.0,0.0,1397.6612247855628,"Albuquerque,New Mexico",2024-12-31,Class A
2029-12-31,0.0,289059.315,21050.27268534856,9683.125435260336,-8085.70732833,-125359.80354,289059.315,165296.92956693034,"Albuquerque,New Mexico",2024-12-31,Class A
